callsign, uplink,  downlink, tone,  lat,   lon,       area,             range, links
VA3ATL,   444.775, 449.775,  110.9, 43.648, -79.3860, GTA,              70,
VE3WOO,   443.900, 448.900,  127.3, 43.647, -79.3821, GTA,              50,
VE3WOO,   442.750, 447.750,  103.5, 43.666, -79.4166, GTA,                ,    VE3WOO
VE3WOO,   444.175, 449.175,  103.5, 43.882, -79.9325, GTA,              50,    VE3WOO
VE3ZOE,   443.075, 448.075,       , 43.249, -79.8346, Golden Horseshoe, 100,
VE3GRW,   442.900, 447.900,  107.2, 43.106, -79.1126, Golden Horseshoe, 200,
VE3YYZ,   443.050, 448.050,  156.7, 43.648, -79.3821, Toronto,          35,    VE3RTR
VE3OKR,   442.450, 447.450,       , 43.467, -79.6875, Oakville,         40,
VE3RSB,   444.825, 449.825,  131.8, 43.360, -79.8580, Burlington,       40,
VE3ADT,   444.125, 449.125,  131.8, 43.587, -79.9825, Milton,           45,
VE3MIS,   145.430, 144.830,  103.5, 43.593, -79.6350, Mississauga,      20,
VE3YRA,   145.350, 144.750,  103.5, 44.027, -79.3460, GTA,              75,
VE3SKY,   146.985, 146.385,  103.5, 43.665, -79.4166, GTA,              70,
VE3GYQ,   145.350, 144.750,  114.8, 42.983, -81.2501, London,           50,
VE3TTT,   147.180, 147.780,  114.8, 42.984, -81.2442, London,           75,    VE3SUE
VE3SUE,   444.400, 449.400,  114.8, 42.983, -81.2500, London,           50,
VA3FEZ,   444.100, 449.100,  114.8, 42.956, -81.2776, London,             ,    VE3MMX
VE3MMX,   147.225, 147.825,  114.8, 42.739, -81.3454, St Thomas,        35
VE3MMX,   443.750, 448.750,  114.8, 42.739, -81.3454, St Thomas,          ,
VE3TCB,   146.940, 146.340,  114.8, 43.163, -81.8570, Grand Bend,       50,    VE3SUE|VE3SRT
VE3SRT,   442.050, 447.050,  114.8, 43.313, -81.7554, Grand Bend,       50,    VE3SUE
VE3MCR,   147.000, 147.600,  114.8, 43.186, -81.4075, Grand Bend,         ,    VE3SUE
VE3RGB,   146.760, 146.160,  114.8, 43.335, -81.7372, Grand Bend,         ,    VE3SUE
VE3RTR,   444.975, 449.975,  162.2, 44.057, -78.1328, Peterborough,     65,
